id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
889988229788232381,"New Spacious 2 Bed, 2 Bath unit w/ Elevator",266312920,STARS Of,,Roxbury,42.33601382120865,-71.08390770417132,Entire home/apt,368,29,2,2023-12-31,0.15,35,262,1,Exempt: This listing is a unit used for furnished institutional or business stays
890808534363360428,Korean Gem in Brighton,477287323,Richard,,Brighton,42.35666,-71.16563,Private room,141,1,30,2024-09-01,2.01,1,260,23,STR-531923
891295191097700705,Amazing 3BR w/ Private Rooftop,133683011,Pascal,,East Boston,42.3766504,-71.0346948,Entire home/apt,928,29,3,2024-08-03,0.19,1,168,1,STR-528743
892203706815522557,Modern & Cozy Charles River View condo W&D in unit,163848078,Adam,,Brighton,42.360273676805456,-71.15060224133732,Entire home/apt,,29,0,,,53,364,0,STR-253643
892245166226778805,"Modern Luxurious Charles River View, 2BR 2BA Condo",163848078,Adam,,Brighton,42.36032093963335,-71.14837356544191,Entire home/apt,459,29,3,2023-07-31,0.19,53,364,0,Exempt: This listing is a unit used for furnished institutional or business stays
892823240169717754,Cozy Oasis Minutes From Logan,190645992,Hans,,East Boston,42.366014916445515,-71.0304134908038,Entire home/apt,405,2,20,2024-09-08,1.66,1,68,20,STR-528989
893355181778189037,Luxury Loft | W/D in Unit | Pet Friendly,382451810,Healing Homes,,Downtown,42.35758,-71.0556,Entire home/apt,313,1,65,2024-07-28,4.10,72,319,51,STR-489710
893705478041704054,Charming 2BR 2BA Beautiful View King bed W&D insid,163848078,Adam,,Brighton,42.35924344926408,-71.15026073167738,Entire home/apt,459,29,3,2023-07-31,0.19,53,364,0,Str-079287
893975999133947853,Spacious apt 5min drive Downtown~,439013531,Peter,,East Boston,42.3772,-71.0234,Entire home/apt,398,29,5,2023-07-16,0.31,5,365,0,STR-546064
894079591468369288,Accessible Private Room #835 D,297860058,Sophia,,Allston,42.35481091620561,-71.13201154917498,Private room,63,91,0,,,156,261,0,
